customer_hierarchy;product_line;month;month_no;actual_sales;open_backlog;backlog_conversion_probability;expected_backlog_revenue;budget;roll_forecast;statistical_demand_forecast;raw_ai_forecast;final_ai_forecast;forecast_low;forecast_high;confidence;risk_flag;explanation
81601 - Italien o. VU;M211_10 einteilig maschinell;May 2026;5;32600.0;550.0;0.7;385.0;26980.85;122418.91;48595.44;55612.0;48429.89;43586.9;53272.88;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M151_10 Oszillierend;Nov 2026;11;0.0;0.0;0.0;0.0;330862.06;299677.6;292987.81;302391.22;226320.45;203688.41;248952.5;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81210 - Brasilien;M208_10 Stahl;Sep 2026;9;0.0;0.0;0.0;0.0;75000.0;75000.0;278180.0;191102.86;147890.11;133101.1;162679.12;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81204 - Niederlande;n/a;Dec 2026;12;0.0;0.0;0.0;0.0;0.0;-72826.0;0.0;0.0;0.0;0.0;0.0;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
88418 - Indien;n/a;Jun 2026;6;0.0;163792.23;0.7;114654.56;253069.24;232071.76;398928.66;201312.58;159361.43;143425.29;175297.57;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M201_10 Stahl;Aug 2026;8;0.0;16305.4;0.7;11413.78;52544.01;103342.52;60798.12;42082.0;32260.71;29034.64;35486.78;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M203_10 Stahl;Aug 2026;8;0.0;0.0;0.0;0.0;136670.64;157623.53;108206.2;113305.25;86861.55;78175.39;95547.7;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81811 - Komet France;M151_10 Oszillierend;Jul 2026;7;0.0;17892.5;0.7;12524.75;147861.0;150345.15;137376.6;102396.58;80972.88;72875.59;89070.17;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M151_11 Reziprok;Dec 2026;12;0.0;0.0;0.0;0.0;145714.29;0.0;181161.19;96953.31;68442.72;61598.45;75287.0;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M151_10 Oszillierend;Dec 2026;12;0.0;0.0;0.0;0.0;179949.43;192891.74;182662.88;176312.04;124464.82;112018.34;136911.3;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M203_10 Stahl;Sep 2026;9;0.0;404720.3;0.7;283304.21;287060.01;384886.29;633731.3;409030.07;316538.97;284885.07;348192.87;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
