customer_hierarchy;product_line;month;month_no;actual_sales;open_backlog;backlog_conversion_probability;expected_backlog_revenue;budget;roll_forecast;statistical_demand_forecast;raw_ai_forecast;final_ai_forecast;forecast_low;forecast_high;confidence;risk_flag;explanation
81603 - USA ohne VU;M141_10 Navigation Pins;Jun 2026;6;0.0;0.0;0.0;0.0;127621.46;108920.79;75515.17;87412.57;69196.83;62277.15;76116.51;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M151_10 Oszillierend;Sep 2026;9;0.0;0.0;0.0;0.0;166321.75;177668.52;201449.99;178412.74;138069.52;124262.57;151876.47;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71811 - Komet France;323_11 Biokeramische Sealer;Dec 2026;12;0.0;0.0;0.0;0.0;79428.09;97555.77;83621.62;82518.07;58252.38;52427.15;64077.62;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81210 - Brasilien;M208_10 Stahl;Aug 2026;8;0.0;0.0;0.0;0.0;87500.0;87500.0;55258.99;63534.07;48706.2;43835.58;53576.82;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M151_10 Oszillierend;Oct 2026;10;0.0;0.0;0.0;0.0;192244.16;203933.55;246606.66;217980.19;165172.11;148654.9;181689.32;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71308 - Schweden;317_10 Sonstiges;Dec 2026;12;0.0;0.0;0.0;0.0;0.0;2.42;109800.0;54901.21;38756.68;34881.01;42632.35;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
71205 - Spanien;111_10 Standard;Nov 2026;11;0.0;0.0;0.0;0.0;42806.33;50849.18;215932.45;119530.61;89461.0;80514.9;98407.1;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M151_10 Oszillierend;Jun 2026;6;0.0;277966.6;0.7;194576.62;270772.61;251912.26;364911.89;269497.68;213337.56;192003.81;234671.32;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M143_10 Fixation Pins;Dec 2026;12;0.0;0.0;0.0;0.0;101551.92;87518.13;50689.26;69349.33;48956.11;44060.5;53851.72;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M162_12 Vollhartmetall;Oct 2026;10;0.0;0.0;0.0;0.0;0.0;340208.64;427652.41;398329.03;301829.47;271646.52;332012.41;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71813 - D+Z;n/a;Dec 2026;12;0.0;0.0;0.0;0.0;134697.52;111014.26;115832.79;103585.46;73124.59;65812.13;80437.05;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M204_10 Stahl;Sep 2026;9;0.0;4095.0;0.7;2866.5;58101.12;58768.97;29702.55;27403.95;21207.29;19086.56;23328.02;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M161_10 Diamant;Dec 2026;12;0.0;0.0;0.0;0.0;94167.09;72089.13;25245.01;49106.71;34666.14;31199.53;38132.75;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71813 - D+Z;n/a;Jun 2026;6;0.0;14777.79;0.7;10344.45;143823.76;119920.92;161950.17;104293.63;82560.08;74304.07;90816.08;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
79202 - Product Management GD;332_10 EnDrive Basismodul;Aug 2026;8;0.0;0.0;0.0;0.0;0.0;0.0;48075.33;48075.33;36855.29;33169.76;40540.82;low;sparse;"sparse segment; blended backlog, seasonality, budget, and roll forecast."
81814 - Komet Medical USA;M141_10 Navigation Pins;May 2026;5;7377.2;0.0;0.0;0.0;0.0;0.0;67923.39;42069.97;36636.77;32973.09;40300.44;low;sparse;"sparse segment; blended backlog, seasonality, budget, and roll forecast."
81601 - Italien o. VU;M211_10 einteilig maschinell;Sep 2026;9;0.0;802.5;0.7;561.75;34726.38;51655.01;16834.13;19695.23;15241.69;13717.52;16765.85;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71813 - D+Z;n/a;Sep 2026;9;0.0;0.0;0.0;0.0;148091.85;129222.97;119556.83;120136.15;92970.61;83673.54;102267.67;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81205 - Spanien;M201_10 Stahl;Oct 2026;10;0.0;0.0;0.0;0.0;13370.0;55944.66;40475.43;26119.92;19792.08;17812.88;21771.29;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
88601 - Italien o. VU;n/a;Oct 2026;10;0.0;17999.13;0.7;12599.39;66762.13;58460.71;25639.45;29683.49;22492.34;20243.11;24741.57;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
71423 - Japan;141_11 H34;Jul 2026;7;0.0;0.0;0.0;0.0;0.0;30248.26;103036.09;83184.86;65780.69;59202.62;72358.76;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M204_10 Stahl;May 2026;5;0.0;5419.8;0.7;3793.86;40908.23;53919.6;30287.09;21175.91;18441.11;16597.0;20285.22;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81814 - Komet Medical USA;M173_10 Wedges;Jun 2026;6;0.0;0.0;0.0;0.0;44763.9;0.0;0.0;44763.9;35435.63;31892.07;38979.2;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
88468 - Volksrepublik China;n/a;May 2026;5;88.59;39427.76;0.7;27599.43;63007.45;65223.68;87514.89;34323.45;29890.69;26901.62;32879.75;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M162_12 Vollhartmetall;Aug 2026;8;0.0;49305.6;0.7;34513.92;262963.2;143328.24;249216.37;141035.63;108120.09;97308.08;118932.09;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M173_10 Wedges;Oct 2026;10;0.0;0.0;0.0;0.0;63209.84;62577.01;22718.29;36485.64;27646.59;24881.94;30411.25;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M151_10 Oszillierend;May 2026;5;118538.57;124534.21;0.7;87173.95;277221.65;270641.81;347330.58;270818.54;235843.19;212258.87;259427.51;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M151_11 Reziprok;Jun 2026;6;0.0;41250.0;0.7;28875.0;0.0;58450.0;3314.35;29878.59;23652.25;21287.02;26017.47;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81811 - Komet France;M151_10 Oszillierend;Aug 2026;8;0.0;37887.5;0.7;26521.25;79975.84;83121.17;86093.36;63077.07;48355.85;43520.27;53191.44;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81204 - Niederlande;M153_10 Oszillierend;Jul 2026;7;0.0;6228.0;0.7;4359.6;54497.5;53575.62;22508.07;23800.09;18820.57;16938.51;20702.63;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71813 - D+Z;n/a;Jul 2026;7;0.0;7640.14;0.7;5348.1;148154.1;120670.49;177557.66;108696.06;85954.37;77358.93;94549.8;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M209_10 Sonstiges;Jul 2026;7;0.0;89700.0;0.7;62790.0;24129.57;0.0;24281.97;43497.88;34397.13;30957.42;37836.85;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71463 - Russland;231_12 Knochenfräser grazil konisch;Jun 2026;6;0.0;23660.8;0.7;16562.56;68587.19;68382.22;52851.85;43309.01;34283.93;30855.53;37712.32;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81204 - Niederlande;M153_10 Oszillierend;Oct 2026;10;0.0;0.0;0.0;0.0;70411.24;69414.99;33352.42;47045.01;35647.84;32083.06;39212.63;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71205 - Spanien;111_10 Standard;May 2026;5;29043.36;3838.52;0.7;2686.96;46824.92;43605.92;204530.02;88791.77;77324.6;69592.14;85057.06;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
71463 - Russland;231_12 Knochenfräser grazil konisch;Oct 2026;10;0.0;0.0;0.0;0.0;51492.38;51331.54;4262.02;23462.39;17778.37;16000.53;19556.21;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M151_10 Oszillierend;Aug 2026;8;0.0;272322.8;0.7;190625.96;429193.22;379465.8;831332.08;451298.51;345972.39;311375.15;380569.62;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81814 - Komet Medical USA;M191_10 Sonstige;Jun 2026;6;0.0;85193.86;0.7;59635.7;87607.75;169933.42;330159.42;172517.1;136566.58;122909.93;150223.24;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
71811 - Komet France;111_10 Standard;Sep 2026;9;0.0;0.0;0.0;0.0;122662.09;126880.52;123291.54;121094.89;93712.55;84341.3;103083.81;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71813 - D+Z;n/a;May 2026;5;19565.46;65588.03;0.7;45911.62;145056.57;119583.07;136782.27;99280.47;86458.72;77812.84;95104.59;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M209_10 Sonstiges;Dec 2026;12;0.0;0.0;0.0;0.0;54150.37;142712.2;208652.96;155528.96;109793.32;98813.99;120772.65;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81204 - Niederlande;M203_10 Stahl;May 2026;5;0.0;0.0;0.0;0.0;0.0;0.0;37625.83;37625.83;32766.57;29489.92;36043.23;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71463 - Russland;231_12 Knochenfräser grazil konisch;Jul 2026;7;0.0;0.0;0.0;0.0;55298.41;55133.86;12516.39;28386.8;22447.63;20202.87;24692.4;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M212_10 zweiteilig maschinell;Nov 2026;11;0.0;77000.0;0.7;53900.0;77000.0;77000.0;55126.4;59274.08;44362.85;39926.57;48799.14;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M209_10 Sonstiges;Nov 2026;11;0.0;0.0;0.0;0.0;132027.93;159380.25;373153.87;256209.53;191756.42;172580.78;210932.06;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
88468 - Volksrepublik China;n/a;Dec 2026;12;0.0;0.0;0.0;0.0;70102.41;68467.17;65752.83;51850.17;36602.84;32942.56;40263.13;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M143_10 Fixation Pins;Jun 2026;6;0.0;0.0;0.0;0.0;101551.92;93805.48;87877.81;78332.61;62009.02;55808.12;68209.93;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M161_13 Stahl;Aug 2026;8;0.0;7000.0;0.7;4900.0;61645.42;53368.53;25342.65;28166.02;21592.5;19433.25;23751.75;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M163_10 Stahl;Dec 2026;12;0.0;0.0;0.0;0.0;63047.6;64262.2;11327.43;46212.41;32622.95;29360.66;35885.25;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
83102 - Deutschland;M151_10 Oszillierend;Jul 2026;7;0.0;0.0;0.0;0.0;175300.81;184869.07;223562.78;193865.57;153304.47;137974.03;168634.92;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M141_10 Navigation Pins;Nov 2026;11;0.0;0.0;0.0;0.0;127621.46;108682.37;92131.34;103045.99;77123.32;69410.99;84835.65;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M171_10 Shannon Recta;Oct 2026;10;0.0;0.0;0.0;0.0;61423.72;43305.75;156656.96;98634.11;74738.92;67265.03;82212.81;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M141_10 Navigation Pins;Aug 2026;8;0.0;0.0;0.0;0.0;127621.46;99171.47;73270.87;88430.81;67792.42;61013.18;74571.66;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81204 - Niederlande;M153_10 Oszillierend;Aug 2026;8;0.0;0.0;0.0;0.0;65919.95;65090.52;32446.21;44108.32;33814.12;30432.71;37195.53;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81303 - Irland;M161_12 Vollhartmetall;May 2026;5;28828.8;53082.8;0.7;37157.96;158409.8;67719.66;201677.76;113649.92;98972.4;89075.16;108869.64;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M151_10 Oszillierend;Aug 2026;8;0.0;0.0;0.0;0.0;216835.67;233361.18;293744.87;263660.99;202126.57;181913.92;222339.23;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71459 - Taiwan;261_10 Schall;Oct 2026;10;0.0;0.0;0.0;0.0;10000.51;0.0;72115.74;41058.13;31111.35;28000.21;34222.48;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;n/a;Jun 2026;6;0.0;0.0;0.0;0.0;13442.41;13442.41;138356.21;56215.72;44501.03;40050.93;48951.13;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
81422 - Israel;n/a;Aug 2026;8;0.0;47925.0;0.7;33547.5;0.0;55725.0;5900.13;32180.03;24669.71;22202.74;27136.68;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81603 - USA ohne VU;M144_10 Fixation Screws;Dec 2026;12;0.0;0.0;0.0;0.0;77177.02;67093.21;40566.79;51244.67;36175.4;32557.86;39792.94;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81204 - Niederlande;M153_10 Oszillierend;Dec 2026;12;0.0;0.0;0.0;0.0;51077.02;50161.53;19744.18;27391.16;19336.38;17402.74;21270.01;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81601 - Italien o. VU;M212_10 zweiteilig maschinell;Jun 2026;6;0.0;9224.45;0.7;6457.11;10426.07;39973.89;6174.7;11559.86;9150.92;8235.83;10066.01;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
71814 - Komet USA;201_10 Standard;Jun 2026;6;0.0;45263.16;0.7;31684.21;30702.48;58902.36;47970.61;35530.77;28126.58;25313.92;30939.24;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
88601 - Italien o. VU;n/a;Dec 2026;12;0.0;18851.62;0.7;13196.13;59575.87;52865.12;27593.56;31341.13;22124.8;19912.32;24337.28;medium;volatile;"volatile segment; blended backlog, seasonality, budget, and roll forecast."
88418 - Indien;n/a;Aug 2026;8;0.0;178128.63;0.7;124690.04;292873.37;246904.41;463221.42;282076.77;216244.39;194619.95;237868.83;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
81202 - Schweiz;M221_11 Keramik;Jun 2026;6;0.0;0.0;0.0;0.0;38700.0;0.0;0.0;38700.0;30635.38;27571.84;33698.92;high;normal;"normal segment; blended backlog, seasonality, budget, and roll forecast."
