customer_hierarchy;product_line;month;month_no;actual_sales;budget;roll_forecast;seasonal_ytd_forecast;trend_3y_forecast;recommended_forecast;reconciled_forecast;top_down_target_month;reconciliation_factor;delta_vs_roll;delta_vs_budget;delta_reconciled_vs_roll;delta_reconciled_vs_budget;method;risk;active_history_months;ytd_growth_used
81303 - Irland;M161_10 Diamant;Jun 2026;6;0.0;257424.7;329802.24;322177.55;181288.78;286762.19;260560.05;16404125.2;0.90862764;-43040.05;29337.49;-69242.19;3135.35;segment_ensemble;normal;60;0.075041
81422 - Israel;n/a;Jul 2026;7;0.0;0.0;102450.0;4222.66;2930.15;36706.61;33490.39;16472643.23;0.91238039;-65743.39;36706.61;-68959.61;33490.39;segment_ensemble;normal;36;0.138752
71205 - Spanien;111_10 Standard;May 2026;5;29043.36;46824.92;43605.92;204530.02;115166.43;106748.68;110515.19;16175610.38;1.03528394;63142.76;59923.75;66909.27;63690.27;may_runrate_blend;volatile;60;0.558196
71811 - Komet France;242_10 für Oberflächen;May 2026;5;3202.1;72094.62;109634.38;19094.4;36915.61;41479.31;42942.86;16175610.38;1.03528394;-68155.07;-30615.31;-66691.52;-29151.76;may_runrate_blend;volatile;58;0.6
81210 - Brasilien;M208_10 Stahl;May 2026;5;50000.0;75000.0;75000.0;120000.0;103131.25;136500.0;141316.26;16175610.38;1.03528394;61500.0;61500.0;66316.26;66316.26;may_runrate_blend;volatile;33;0.6
71423 - Japan;141_11 H34;May 2026;5;0.0;65643.12;94652.14;18922.67;22556.68;27828.82;28810.73;16175610.38;1.03528394;-66823.32;-37814.29;-65841.41;-36832.39;may_runrate_blend;normal;25;-0.039246
71450 - Süd-Korea;113_10 Standard;May 2026;5;33523.64;85148.25;39525.04;113393.16;74040.09;101722.18;105311.34;16175610.38;1.03528394;62197.14;16573.93;65786.3;20163.09;may_runrate_blend;normal;60;0.077666
81303 - Irland;M161_10 Diamant;Sep 2026;9;0.0;254680.0;268632.42;188102.75;175991.81;223062.84;202889.37;17613222.7;0.90956148;-45569.58;-31617.16;-65743.05;-51790.63;segment_ensemble;normal;60;0.075041
71468 - Volksrepublik China;231_12 Knochenfräser grazil konisch;Nov 2026;11;0.0;23772.26;25232.82;213094.86;85414.3;99646.62;90361.59;17937320.16;0.90682046;74413.8;75874.36;65128.77;66589.33;segment_ensemble;volatile;48;0.6
81814 - Komet Medical USA;M191_10 Sonstige;May 2026;5;82721.08;136058.27;194363.54;259004.48;132842.54;250262.11;259092.34;16175610.38;1.03528394;55898.57;114203.84;64728.8;123034.07;may_runrate_blend;volatile;21;0.6
73104 - 99-er Bezirk;n/a;Sep 2026;9;0.0;280404.16;193.49;48.22;138.87;70187.12;63839.5;17613222.7;0.90956148;69993.63;-210217.04;63646.01;-216564.66;segment_ensemble;normal;43;0.091665
81303 - Irland;M161_12 Vollhartmetall;May 2026;5;28828.8;158409.8;67719.66;201677.76;160769.93;126146.81;130597.77;16175610.38;1.03528394;58427.15;-32262.99;62878.11;-27812.03;may_runrate_blend;normal;60;-0.040383
71811 - Komet France;242_10 für Oberflächen;Jun 2026;6;0.0;79051.15;132682.6;41339.52;70359.3;77956.16;70833.12;16404125.2;0.90862764;-54726.43;-1094.98;-61849.48;-8218.03;segment_ensemble;volatile;58;0.6
71811 - Komet France;n/a;Dec 2026;12;0.0;-59909.15;-59843.19;468.93;1489.22;775.02;663.38;14736597.28;0.85595374;60618.2;60684.17;60506.57;60572.53;segment_ensemble;normal;58;-0.026642
81303 - Irland;M162_12 Vollhartmetall;Nov 2026;11;0.0;427315.2;336053.67;253215.24;163953.34;304060.55;275728.33;17937320.16;0.90682046;-31993.11;-123254.65;-60325.34;-151586.87;segment_ensemble;normal;59;0.027126
81422 - Israel;M203_10 Stahl;Aug 2026;8;0.0;9355.4;0.0;118241.48;48035.6;67904.94;60162.83;13916935.45;0.88598601;67904.94;58549.54;60162.83;50807.43;segment_ensemble;volatile;42;0.6
81303 - Irland;M161_12 Vollhartmetall;Jun 2026;6;0.0;235895.7;251371.76;195208.32;147151.27;212212.47;192822.12;16404125.2;0.90862764;-39159.29;-23683.23;-58549.64;-43073.58;segment_ensemble;normal;60;-0.040383
83102 - Deutschland;M161_13 Stahl;Jul 2026;7;0.0;95131.15;122107.85;36956.94;22095.74;70559.04;64376.68;16472643.23;0.91238039;-51548.81;-24572.11;-57731.17;-30754.47;segment_ensemble;volatile;60;0.6
81202 - Schweiz;M201_10 Stahl;Oct 2026;10;0.0;128765.45;234172.25;252970.82;122258.91;197613.05;178163.85;18083332.61;0.90157939;-36559.2;68847.59;-56008.4;49398.4;segment_ensemble;volatile;60;0.6
81603 - USA ohne VU;M181_14 Sonstige;Dec 2026;12;0.0;0.0;0.0;73783.65;42529.24;64407.33;55129.7;14736597.28;0.85595374;64407.33;64407.33;55129.7;55129.7;segment_ensemble;normal;12;0.092621
83102 - Deutschland;M201_10 Stahl;Aug 2026;8;0.0;52544.01;103342.52;24620.69;49208.54;54970.16;48702.79;13916935.45;0.88598601;-48372.37;2426.14;-54639.73;-3841.22;segment_ensemble;normal;60;-0.162033
81303 - Irland;M161_12 Vollhartmetall;Oct 2026;10;0.0;179580.8;221973.32;150192.07;223829.63;186530.2;168171.78;18083332.61;0.90157939;-35443.12;6949.4;-53801.54;-11409.02;segment_ensemble;normal;60;-0.040383
81814 - Komet Medical USA;M191_10 Sonstige;Aug 2026;8;0.0;162924.81;209831.02;189087.63;112136.58;176190.12;156101.98;13916935.45;0.88598601;-33640.91;13265.31;-53729.04;-6822.83;segment_ensemble;volatile;21;0.6
71814 - Komet USA;201_10 Standard;May 2026;5;41889.32;60642.7;58695.85;87532.4;52165.29;108261.2;112081.08;16175610.38;1.03528394;49565.35;47618.51;53385.23;51438.38;may_runrate_blend;volatile;60;0.309466
71308 - Schweden;317_10 Sonstiges;Dec 2026;12;0.0;0.0;2.42;109800.0;53766.77;61994.16;53064.13;14736597.28;0.85595374;61991.74;61994.16;53061.71;53064.13;segment_ensemble;volatile;45;0.6
88311 - Türkei;n/a;Oct 2026;10;0.0;32276.35;24117.41;184972.32;43276.81;85330.27;76932.01;18083332.61;0.90157939;61212.86;53053.92;52814.6;44655.66;segment_ensemble;volatile;34;0.6
81202 - Schweiz;M203_10 Stahl;Aug 2026;8;0.0;136670.64;157623.53;75754.49;125042.88;118844.05;105294.17;13916935.45;0.88598601;-38779.48;-17826.6;-52329.36;-31376.47;segment_ensemble;normal;60;-0.061971
71205 - Spanien;111_10 Standard;Nov 2026;11;0.0;42806.33;50849.18;215932.45;93097.54;112954.86;102429.78;17937320.16;0.90682046;62105.68;70148.54;51580.6;59623.45;segment_ensemble;volatile;60;0.558196
81202 - Schweiz;M161_10 Diamant;Jun 2026;6;0.0;75090.61;114214.84;38852.53;55479.39;69246.66;62919.43;16404125.2;0.90862764;-44968.18;-5843.95;-51295.41;-12171.18;segment_ensemble;normal;60;-0.078405
71308 - Schweden;317_10 Sonstiges;Nov 2026;11;0.0;0.0;6.2;98938.88;48448.31;55863.21;50657.9;17937320.16;0.90682046;55857.01;55863.21;50651.7;50657.9;segment_ensemble;volatile;45;0.6
81202 - Schweiz;M209_10 Sonstiges;Nov 2026;11;0.0;132027.93;159380.25;373153.87;185487.73;231279.06;209728.58;17937320.16;0.90682046;71898.81;99251.13;50348.33;77700.65;segment_ensemble;volatile;60;0.6
81207 - Argentinien;M182_13 Sonstige;Jul 2026;7;0.0;0.0;0.0;60143.33;43381.59;55114.81;50285.67;16472643.23;0.91238039;55114.81;55114.81;50285.67;50285.67;segment_ensemble;sparse;1;0.092621
81422 - Israel;M203_10 Stahl;Oct 2026;10;0.0;3541.4;0.0;96155.04;44019.69;54856.76;49457.72;18083332.61;0.90157939;54856.76;51315.36;49457.72;45916.32;segment_ensemble;volatile;42;0.6
81603 - USA ohne VU;M151_11 Reziprok;Nov 2026;11;0.0;218571.43;91000.0;0.0;0.0;154785.71;140362.85;17937320.16;0.90682046;63785.71;-63785.71;49362.85;-78208.58;segment_ensemble;volatile;30;-0.4
81603 - USA ohne VU;M171_10 Shannon Recta;Jul 2026;7;0.0;52738.88;42905.21;183246.24;84976.07;100793.62;91962.12;16472643.23;0.91238039;57888.41;48054.74;49056.91;39223.24;segment_ensemble;volatile;60;0.6
81303 - Irland;M161_12 Vollhartmetall;Sep 2026;9;0.0;196357.7;196889.41;126281.77;155616.9;165852.93;150853.44;17613222.7;0.90956148;-31036.48;-30504.77;-46035.97;-45504.26;segment_ensemble;normal;60;-0.040383
81204 - Niederlande;M153_10 Oszillierend;May 2026;5;230.84;77279.07;83690.95;17708.18;29193.34;36781.52;38079.32;16175610.38;1.03528394;-46909.43;-40497.55;-45611.63;-39199.75;may_runrate_blend;normal;60;0.001404
71450 - Süd-Korea;131_10 H1;May 2026;5;40832.07;61023.28;52485.93;64795.04;50747.89;94406.3;97737.33;16175610.38;1.03528394;41920.38;33383.02;45251.4;36714.05;may_runrate_blend;normal;58;0.053173
71423 - Japan;141_11 H34;Jul 2026;7;0.0;0.0;30248.26;103036.09;122823.63;82730.99;75482.13;16472643.23;0.91238039;52482.73;82730.99;45233.87;75482.13;segment_ensemble;normal;25;-0.039246
71308 - Schweden;317_10 Sonstiges;Aug 2026;8;0.0;0.0;3.7;89016.0;43589.28;50259.89;44529.56;13916935.45;0.88598601;50256.19;50259.89;44525.86;44529.56;segment_ensemble;volatile;45;0.6
88418 - Indien;n/a;Aug 2026;8;0.0;292873.37;246904.41;463221.42;204920.76;327810.06;290435.13;13916935.45;0.88598601;80905.65;34936.69;43530.72;-2438.24;segment_ensemble;normal;60;0.252539
88418 - Indien;n/a;Jun 2026;6;0.0;253069.24;232071.76;137223.06;256010.29;207714.86;188735.46;16404125.2;0.90862764;-24356.89;-45354.37;-43336.3;-64333.78;segment_ensemble;normal;60;0.252539
81202 - Schweiz;M209_10 Sonstiges;Oct 2026;10;0.0;122046.32;195434.35;473161.14;131615.1;264718.83;238665.04;18083332.61;0.90157939;69284.48;142672.51;43230.69;116618.72;segment_ensemble;volatile;60;0.6
81303 - Irland;M161_12 Vollhartmetall;Nov 2026;11;0.0;133897.6;213925.49;195692.6;219392.23;188357.02;170806.0;17937320.16;0.90682046;-25568.47;54459.42;-43119.49;36908.4;segment_ensemble;normal;60;-0.040383
81202 - Schweiz;M201_10 Stahl;Nov 2026;11;0.0;105853.77;180713.12;177971.41;118818.99;151754.56;137614.14;17937320.16;0.90682046;-28958.56;45900.79;-43098.98;31760.37;segment_ensemble;volatile;60;0.6
71459 - Taiwan;261_10 Schall;Oct 2026;10;0.0;10000.51;0.0;72115.74;50249.69;47037.45;42408.0;18083332.61;0.90157939;47037.45;37036.94;42408.0;32407.49;segment_ensemble;volatile;40;0.6
81202 - Schweiz;M212_10 zweiteilig maschinell;May 2026;5;85085.0;35000.0;77000.0;112199.2;46075.88;115254.71;119321.35;16175610.38;1.03528394;38254.71;80254.71;42321.35;84321.35;may_runrate_blend;volatile;24;0.6
83102 - Deutschland;M161_10 Diamant;Nov 2026;11;0.0;38913.33;36379.86;139970.24;124714.17;86520.01;78458.12;17937320.16;0.90682046;50140.15;47606.67;42078.26;39544.79;segment_ensemble;normal;60;-0.139792
81202 - Schweiz;M203_10 Stahl;Nov 2026;11;0.0;152212.88;221949.92;200289.56;231424.03;198355.65;179872.96;17937320.16;0.90682046;-23594.27;46142.77;-42076.96;27660.08;segment_ensemble;normal;60;-0.061971
81202 - Schweiz;M203_10 Stahl;Jul 2026;7;0.0;178689.92;188892.23;141885.96;130554.21;161138.75;147019.84;16472643.23;0.91238039;-27753.47;-17551.17;-41872.39;-31670.08;segment_ensemble;normal;60;-0.061971
71450 - Süd-Korea;113_10 Standard;Sep 2026;9;0.0;48139.04;97887.93;56043.34;37200.56;61702.0;56121.76;17613222.7;0.90956148;-36185.94;13562.95;-41766.17;7982.72;segment_ensemble;normal;60;0.077666
79202 - Product Management GD;332_10 EnDrive Basismodul;Aug 2026;8;0.0;0.0;0.0;48075.33;44467.83;46993.08;41635.21;13916935.45;0.88598601;46993.08;46993.08;41635.21;41635.21;segment_ensemble;sparse;1;0.092621
81202 - Schweiz;M209_10 Sonstiges;May 2026;5;49710.6;247712.62;186756.3;328469.22;203859.12;220343.26;228117.84;16175610.38;1.03528394;33586.96;-27369.36;41361.54;-19594.78;may_runrate_blend;volatile;60;0.6
81814 - Komet Medical USA;M173_10 Wedges;Jun 2026;6;0.0;44763.9;0.0;0.0;0.0;44763.9;40673.72;16404125.2;0.90862764;44763.9;0.0;40673.72;-4090.18;segment_ensemble;normal;10;0.188772
71814 - Komet USA;123_10 Standard;Nov 2026;11;0.0;148106.7;161135.6;98415.76;140896.62;132890.58;120507.9;17937320.16;0.90682046;-28245.02;-15216.12;-40627.7;-27598.8;segment_ensemble;normal;60;-0.213247
81205 - Spanien;M201_10 Stahl;Aug 2026;8;0.0;7835.0;58893.33;8772.02;6229.86;20686.77;18328.19;13916935.45;0.88598601;-38206.56;12851.77;-40565.14;10493.19;segment_ensemble;normal;55;0.268513
83102 - Deutschland;M202_10 Stahl;May 2026;5;4617.6;92493.2;79837.69;15566.6;17963.53;37969.37;39309.08;16175610.38;1.03528394;-41868.32;-54523.82;-40528.61;-53184.12;may_runrate_blend;normal;56;0.238295
83102 - Deutschland;M209_10 Sonstiges;Jun 2026;6;0.0;25398.97;91086.48;49285.42;62277.63;55712.9;50622.28;16404125.2;0.90862764;-35373.58;30313.93;-40464.2;25223.31;segment_ensemble;normal;57;-0.040653
71463 - Russland;231_12 Knochenfräser grazil konisch;May 2026;5;4737.3;84240.15;83937.65;29169.12;59129.72;42281.35;43773.2;16175610.38;1.03528394;-41656.3;-41958.8;-40164.45;-40466.95;may_runrate_blend;volatile;59;-0.4
81303 - Irland;M161_12 Vollhartmetall;Dec 2026;12;0.0;207639.7;149781.15;270458.57;251746.89;221777.75;189831.5;14736597.28;0.85595374;71996.6;14138.05;40050.35;-17808.2;segment_ensemble;normal;60;-0.040383
81303 - Irland;M161_12 Vollhartmetall;Jul 2026;7;0.0;157012.4;198132.25;141778.24;233347.07;173410.61;158216.44;16472643.23;0.91238039;-24721.64;16398.21;-39915.81;1204.04;segment_ensemble;normal;60;-0.040383
81603 - USA ohne VU;M171_10 Shannon Recta;Oct 2026;10;0.0;61423.72;43305.75;156656.96;74049.23;92119.69;83053.21;18083332.61;0.90157939;48813.94;30695.97;39747.46;21629.49;segment_ensemble;volatile;60;0.6
81303 - Irland;M161_10 Diamant;Oct 2026;10;0.0;220624.2;292676.17;332902.08;239215.76;280723.19;253094.24;18083332.61;0.90157939;-11952.98;60098.99;-39581.93;32470.04;segment_ensemble;normal;60;0.075041
81303 - Irland;M161_10 Diamant;Jul 2026;7;0.0;211964.27;273839.81;289606.55;226991.59;256862.05;234355.9;16472643.23;0.91238039;-16977.76;44897.78;-39483.91;22391.63;segment_ensemble;normal;60;0.075041
81603 - USA ohne VU;n/a;Sep 2026;9;0.0;16784.34;16784.34;124467.83;62116.99;61273.46;55731.98;17613222.7;0.90956148;44489.12;44489.12;38947.64;38947.64;segment_ensemble;volatile;59;0.6
83102 - Deutschland;M204_10 Stahl;May 2026;5;0.0;40908.23;53919.6;5082.06;34176.41;15240.59;15778.34;16175610.38;1.03528394;-38679.02;-25667.64;-38141.26;-25129.89;may_runrate_blend;volatile;60;-0.4
81603 - USA ohne VU;M151_11 Reziprok;Jun 2026;6;0.0;0.0;58450.0;3314.35;8009.68;22631.97;20564.03;16404125.2;0.90862764;-35818.03;22631.97;-37885.97;20564.03;segment_ensemble;volatile;30;-0.4
71814 - Komet USA;123_10 Standard;Dec 2026;12;0.0;147511.45;151406.98;100562.79;151815.84;132698.96;113584.17;14736597.28;0.85595374;-18708.02;-14812.49;-37822.81;-33927.28;segment_ensemble;normal;60;-0.213247
71811 - Komet France;331_10 EndoPilot Basismodul;Nov 2026;11;0.0;0.0;0.0;34780.56;56629.81;41335.33;37483.72;17937320.16;0.90682046;41335.33;41335.33;37483.72;37483.72;segment_ensemble;volatile;42;-0.4
71811 - Komet France;271_10 Unisätze;Sep 2026;9;0.0;44753.01;640.63;58184.61;63671.93;41263.81;37531.97;17613222.7;0.90956148;40623.18;-3489.2;36891.34;-7221.04;segment_ensemble;normal;59;0.013056
83102 - Deutschland;M151_10 Oszillierend;Dec 2026;12;0.0;179949.43;192891.74;182662.88;169869.78;182622.77;156316.64;14736597.28;0.85595374;-10268.97;2673.34;-36575.1;-23632.79;segment_ensemble;normal;60;0.104146
88603 - USA ohne VU;n/a;May 2026;5;0.0;42648.06;51635.57;3112.09;12277.4;14764.96;15285.93;16175610.38;1.03528394;-36870.61;-27883.09;-36349.64;-27362.13;may_runrate_blend;volatile;60;-0.4
81204 - Niederlande;M151_10 Oszillierend;Aug 2026;8;0.0;20013.37;15927.94;118838.5;55427.53;58892.93;52178.31;13916935.45;0.88598601;42964.99;38879.56;36250.37;32164.94;segment_ensemble;normal;60;0.223574
81202 - Schweiz;M203_10 Stahl;Sep 2026;9;0.0;146237.01;175722.75;147595.88;142130.46;153468.07;139588.64;17613222.7;0.90956148;-22254.68;7231.06;-36134.11;-6648.37;segment_ensemble;normal;60;-0.061971
81811 - Komet France;M151_10 Oszillierend;Oct 2026;10;0.0;236380.43;236001.89;200666.79;222433.16;221693.93;199874.68;18083332.61;0.90157939;-14307.96;-14686.5;-36127.21;-36505.75;segment_ensemble;normal;60;0.007565
81422 - Israel;n/a;Aug 2026;8;0.0;0.0;55725.0;5900.13;4094.16;22147.23;19622.14;13916935.45;0.88598601;-33577.77;22147.23;-36102.86;19622.14;segment_ensemble;normal;36;0.138752
71205 - Spanien;121_10 Standard;May 2026;5;13297.11;25812.84;22168.88;124163.92;58675.75;55964.84;57939.5;16175610.38;1.03528394;33795.96;30152.0;35770.62;32126.66;may_runrate_blend;volatile;60;0.6
71811 - Komet France;242_10 für Oberflächen;Nov 2026;11;0.0;75065.83;127891.19;118384.99;63182.59;101651.39;92179.56;17937320.16;0.90682046;-26239.8;26585.56;-35711.63;17113.73;segment_ensemble;volatile;58;0.6
71812 - Komet Italia;272_10 Standardsätze;Dec 2026;12;0.0;10648.71;20467.41;145961.9;44886.58;65598.68;56149.44;14736597.28;0.85595374;45131.27;54949.97;35682.03;45500.73;segment_ensemble;normal;60;0.251817
81814 - Komet Medical USA;M144_10 Fixation Screws;Aug 2026;8;0.0;12823.62;102350.29;105396.35;65585.88;75520.08;66909.73;13916935.45;0.88598601;-26830.21;62696.47;-35440.56;54086.11;segment_ensemble;volatile;23;0.6
81202 - Schweiz;M221_11 Keramik;Jun 2026;6;0.0;38700.0;0.0;0.0;0.0;38700.0;35163.89;16404125.2;0.90862764;38700.0;0.0;35163.89;-3536.11;segment_ensemble;normal;20;-0.269687
81303 - Irland;M162_12 Vollhartmetall;Dec 2026;12;0.0;213657.6;136960.0;241126.36;188764.47;200363.29;171501.71;14736597.28;0.85595374;63403.29;-13294.31;34541.71;-42155.89;segment_ensemble;normal;59;0.027126
88468 - Volksrepublik China;n/a;May 2026;5;88.59;63007.45;65223.68;8731.39;68709.27;29979.09;31036.87;16175610.38;1.03528394;-35244.59;-33028.36;-34186.81;-31970.58;may_runrate_blend;normal;54;0.223274
88418 - Indien;n/a;Sep 2026;9;0.0;250395.21;231127.39;412174.32;180152.65;291664.56;265286.85;17613222.7;0.90956148;60537.17;41269.35;34159.46;14891.64;segment_ensemble;normal;60;0.252539
81205 - Spanien;M201_10 Stahl;Oct 2026;10;0.0;13370.0;55944.66;7261.73;28745.52;24182.1;21802.08;18083332.61;0.90157939;-31762.56;10812.1;-34142.58;8432.08;segment_ensemble;normal;55;0.268513
71811 - Komet France;242_10 für Oberflächen;Oct 2026;10;0.0;81981.94;122066.95;107921.6;58934.54;97624.96;88016.65;18083332.61;0.90157939;-24441.98;15643.02;-34050.3;6034.71;segment_ensemble;volatile;58;0.6
81603 - USA ohne VU;M151_11 Reziprok;Jul 2026;7;0.0;0.0;17500.0;53082.0;128281.5;56261.23;51331.64;16472643.23;0.91238039;38761.23;56261.23;33831.64;51331.64;segment_ensemble;volatile;30;-0.4
81603 - USA ohne VU;n/a;Aug 2026;8;0.0;14323.07;14323.07;114668.49;42047.43;53602.62;47491.17;13916935.45;0.88598601;39279.55;39279.55;33168.1;33168.1;segment_ensemble;volatile;59;0.6
71814 - Komet USA;123_10 Standard;Jun 2026;6;0.0;138139.28;159439.46;117693.02;160455.09;139655.5;126894.85;16404125.2;0.90862764;-19783.95;1516.23;-32544.61;-11244.43;segment_ensemble;normal;60;-0.213247
81204 - Niederlande;M151_10 Oszillierend;Oct 2026;10;0.0;24906.59;23801.25;110644.36;76661.26;62401.68;56260.07;18083332.61;0.90157939;38600.43;37495.09;32458.82;31353.48;segment_ensemble;normal;60;0.223574
81202 - Schweiz;M151_10 Oszillierend;Nov 2026;11;0.0;330862.06;299677.6;292578.92;231189.8;294716.01;267254.51;17937320.16;0.90682046;-4961.59;-36146.05;-32423.09;-63607.55;segment_ensemble;normal;60;0.206983
81811 - Komet France;M151_10 Oszillierend;Dec 2026;12;0.0;150447.42;155928.71;134617.75;137321.96;144308.54;123521.43;14736597.28;0.85595374;-11620.17;-6138.88;-32407.28;-26925.99;segment_ensemble;normal;60;0.007565
83102 - Deutschland;M163_10 Stahl;Dec 2026;12;0.0;63047.6;64262.2;11327.43;10427.89;37356.23;31975.2;14736597.28;0.85595374;-26905.96;-25691.37;-32287.0;-31072.4;segment_ensemble;volatile;56;0.541591
81202 - Schweiz;M222_11 Keramik;Oct 2026;10;0.0;0.0;0.0;24823.5;59990.12;35373.49;31892.01;18083332.61;0.90157939;35373.49;35373.49;31892.01;31892.01;segment_ensemble;volatile;22;-0.4
88311 - Türkei;n/a;Aug 2026;8;0.0;23121.51;16802.9;108346.09;46980.52;54949.31;48684.32;13916935.45;0.88598601;38146.41;31827.81;31881.42;25562.81;segment_ensemble;volatile;34;0.6
