customer_hierarchy;product_line;month;month_no;actual_sales;budget;roll_forecast;seasonal_ytd_forecast;trend_3y_forecast;recommended_forecast;reconciled_forecast;top_down_target_month;reconciliation_factor;delta_vs_roll;delta_vs_budget;delta_reconciled_vs_roll;delta_reconciled_vs_budget;method;risk;active_history_months;ytd_growth_used
71814 - Komet USA;123_10 Standard;Aug 2026;8;0.0;166260.49;161022.65;121577.36;171942.91;150164.3;133043.47;13916935.45;0.88598601;-10858.35;-16096.2;-27979.18;-33217.02;segment_ensemble;normal;60;-0.213247
81202 - Schweiz;M201_10 Stahl;May 2026;5;29287.35;237378.76;171365.38;122703.82;115399.18;138569.62;143458.9;16175610.38;1.03528394;-32795.77;-98809.15;-27906.48;-93919.86;may_runrate_blend;volatile;60;0.6
81814 - Komet Medical USA;M141_10 Navigation Pins;May 2026;5;7377.2;0.0;0.0;67923.39;43543.38;26863.64;27811.5;16175610.38;1.03528394;26863.64;26863.64;27811.5;27811.5;may_runrate_blend;sparse;3;0.028913
71814 - Komet USA;201_10 Standard;Jun 2026;6;0.0;30702.48;58902.36;21556.75;29081.61;34308.31;31173.48;16404125.2;0.90862764;-24594.04;3605.83;-27728.88;471.0;segment_ensemble;volatile;60;0.309466
81205 - Spanien;M203_10 Stahl;Sep 2026;9;0.0;86715.0;7364.39;23691.36;44123.43;38430.34;34954.76;17613222.7;0.90956148;31065.95;-48284.66;27590.37;-51760.24;segment_ensemble;volatile;43;0.6
81205 - Spanien;M203_10 Stahl;Jul 2026;7;0.0;85073.33;6240.0;29423.36;26235.79;37061.88;33814.53;16472643.23;0.91238039;30821.88;-48011.46;27574.53;-51258.8;segment_ensemble;volatile;43;0.6
81603 - USA ohne VU;M173_10 Wedges;Oct 2026;10;0.0;63209.84;62577.01;13056.69;21325.76;39215.42;35355.81;18083332.61;0.90157939;-23361.59;-23994.43;-27221.2;-27854.03;segment_ensemble;normal;57;0.272582
81205 - Spanien;M201_10 Stahl;Sep 2026;9;0.0;49770.0;6167.1;50010.38;33681.97;36540.2;33235.56;17613222.7;0.90956148;30373.1;-13229.8;27068.46;-16534.44;segment_ensemble;normal;55;0.268513
71814 - Komet USA;123_10 Standard;Oct 2026;10;0.0;165311.22;160700.46;122801.49;159595.92;148422.83;133814.97;18083332.61;0.90157939;-12277.63;-16888.39;-26885.49;-31496.25;segment_ensemble;normal;60;-0.213247
71308 - Schweden;317_10 Sonstiges;Oct 2026;10;0.0;64000.0;69364.19;32878.4;16099.87;47263.47;42611.77;18083332.61;0.90157939;-22100.72;-16736.53;-26752.42;-21388.23;segment_ensemble;volatile;45;0.6
71459 - Taiwan;261_10 Schall;Dec 2026;12;0.0;6717.2;0.0;52765.49;20026.71;30868.3;26421.84;14736597.28;0.85595374;30868.3;24151.1;26421.84;19704.64;segment_ensemble;volatile;40;0.6
71426 - Kuwait;271_10 Unisätze;Dec 2026;12;0.0;0.0;0.0;31500.76;29136.99;30791.63;26356.21;14736597.28;0.85595374;30791.63;30791.63;26356.21;26356.21;segment_ensemble;sparse;2;0.092621
81202 - Schweiz;M161_10 Diamant;Dec 2026;12;0.0;94167.09;72089.13;25245.01;20293.7;53443.86;45745.47;14736597.28;0.85595374;-18645.27;-40723.23;-26343.66;-48421.62;segment_ensemble;normal;60;-0.078405
71814 - Komet USA;331_10 EndoPilot Basismodul;Oct 2026;10;0.0;0.0;0.0;26891.57;34624.23;29211.37;26336.37;18083332.61;0.90157939;29211.37;29211.37;26336.37;26336.37;segment_ensemble;normal;56;-0.273123
71463 - Russland;231_12 Knochenfräser grazil konisch;Oct 2026;10;0.0;51492.38;51331.54;1443.12;10299.87;27756.05;25024.28;18083332.61;0.90157939;-23575.49;-23736.33;-26307.26;-26468.1;segment_ensemble;volatile;59;-0.4
81814 - Komet Medical USA;M181_12 AO;May 2026;5;34147.98;79456.37;69906.18;44742.59;58129.16;92819.26;96094.29;16175610.38;1.03528394;22913.08;13362.89;26188.11;16637.92;may_runrate_blend;normal;21;0.045939
81601 - Italien o. VU;M212_10 zweiteilig maschinell;Jun 2026;6;0.0;10426.07;39973.89;4546.1;6678.44;15192.89;13804.68;16404125.2;0.90862764;-24781.0;4766.82;-26169.21;3378.61;segment_ensemble;normal;51;-0.002829
81603 - USA ohne VU;M141_10 Navigation Pins;Jun 2026;6;0.0;127621.46;108920.79;57520.74;78934.1;91107.94;82783.19;16404125.2;0.90862764;-17812.86;-36513.52;-26137.6;-44838.27;segment_ensemble;normal;60;0.045489
81603 - USA ohne VU;M173_10 Wedges;Nov 2026;11;0.0;28253.8;23340.59;97143.48;50264.66;54438.51;49365.95;17937320.16;0.90682046;31097.92;26184.72;26025.36;21112.15;segment_ensemble;normal;57;0.272582
71811 - Komet France;323_11 Biokeramische Sealer;Dec 2026;12;0.0;79428.09;97555.77;83621.62;67063.82;83573.11;71534.72;14736597.28;0.85595374;-13982.66;4145.02;-26021.05;-7893.37;segment_ensemble;normal;60;0.116064
81603 - USA ohne VU;M143_10 Fixation Pins;Dec 2026;12;0.0;101551.92;87518.13;50689.26;45871.78;71889.52;61534.1;14736597.28;0.85595374;-15628.61;-29662.4;-25984.03;-40017.82;segment_ensemble;normal;60;0.011092
81601 - Italien o. VU;M211_10 einteilig maschinell;Jun 2026;6;0.0;21293.71;48019.77;9290.32;25328.33;24379.23;22151.64;16404125.2;0.90862764;-23640.54;3085.52;-25868.13;857.93;segment_ensemble;normal;58;-0.023449
81603 - USA ohne VU;M171_10 Shannon Recta;Aug 2026;8;0.0;52720.55;81644.13;66872.64;40311.11;63043.26;55855.45;13916935.45;0.88598601;-18600.87;10322.71;-25788.68;3134.9;segment_ensemble;volatile;60;0.6
83102 - Deutschland;M203_10 Stahl;Nov 2026;11;0.0;328719.32;315661.26;504878.23;257800.64;376472.62;341393.08;17937320.16;0.90682046;60811.36;47753.3;25731.82;12673.76;segment_ensemble;normal;60;0.216465
81210 - Brasilien;M208_10 Stahl;Jul 2026;7;0.0;87500.0;87500.0;39840.0;66759.99;67708.0;61775.45;16472643.23;0.91238039;-19792.0;-19792.0;-25724.55;-25724.55;segment_ensemble;volatile;33;0.6
81205 - Spanien;M201_10 Stahl;Jun 2026;6;0.0;26230.0;0.0;33938.44;17809.57;28143.19;25571.68;16404125.2;0.90862764;28143.19;1913.19;25571.68;-658.32;segment_ensemble;normal;55;0.268513
81422 - Israel;M203_10 Stahl;Jun 2026;6;0.0;10987.3;0.0;44518.96;18085.83;28055.11;25491.65;16404125.2;0.90862764;28055.11;17067.81;25491.65;14504.35;segment_ensemble;volatile;42;0.6
88468 - Volksrepublik China;n/a;Dec 2026;12;0.0;70102.41;68467.17;22587.03;51623.55;50291.39;43047.1;14736597.28;0.85595374;-18175.78;-19811.02;-25420.07;-27055.31;segment_ensemble;normal;54;0.223274
81202 - Schweiz;M209_10 Sonstiges;Dec 2026;12;0.0;54150.37;142712.2;192171.76;137090.89;137039.39;117299.38;14736597.28;0.85595374;-5672.81;82889.02;-25412.82;63149.01;segment_ensemble;volatile;60;0.6
71811 - Komet France;323_11 Biokeramische Sealer;Nov 2026;11;0.0;90144.87;107967.02;84464.34;80657.36;91189.1;82692.14;17937320.16;0.90682046;-16777.92;1044.22;-25274.88;-7452.73;segment_ensemble;normal;60;0.116064
83102 - Deutschland;n/a;Dec 2026;12;0.0;-13283.72;-25008.96;0.0;0.0;0.0;0.0;14736597.28;0.85595374;25008.96;13283.72;25008.96;13283.72;segment_ensemble;volatile;57;0.6
81204 - Niederlande;M151_10 Oszillierend;Jul 2026;7;0.0;21433.61;17643.06;76192.5;67394.06;46545.65;42467.34;16472643.23;0.91238039;28902.59;25112.04;24824.28;21033.73;segment_ensemble;normal;60;0.223574
71814 - Komet USA;123_10 Standard;Sep 2026;9;0.0;155773.78;160289.87;132949.62;155990.44;148946.85;135476.32;17613222.7;0.90956148;-11343.02;-6826.93;-24813.55;-20297.46;segment_ensemble;normal;60;-0.213247
73249 - Stückrath;262_10 W&H;May 2026;5;0.0;130.56;29476.57;808.56;759.27;4602.78;4765.18;16175610.38;1.03528394;-24873.79;4472.22;-24711.39;4634.62;may_runrate_blend;normal;25;0.094121
71205 - Spanien;121_10 Standard;Nov 2026;11;0.0;22106.72;26193.5;108846.75;39478.11;56093.13;50866.4;17937320.16;0.90682046;29899.64;33986.42;24672.9;28759.68;segment_ensemble;volatile;60;0.6
81303 - Irland;M162_10 Diamant;Oct 2026;10;0.0;32438.0;3282.8;43330.91;45236.37;30881.47;27842.1;18083332.61;0.90157939;27598.67;-1556.53;24559.3;-4595.9;segment_ensemble;normal;41;-0.216533
83102 - Deutschland;M209_10 Sonstiges;Oct 2026;10;0.0;18718.94;0.0;39355.12;13105.31;27226.43;24546.79;18083332.61;0.90157939;27226.43;8507.49;24546.79;5827.85;segment_ensemble;normal;57;-0.040653
81202 - Schweiz;M203_10 Stahl;Jun 2026;6;0.0;159179.01;164815.95;147214.98;146170.59;154449.57;140337.15;16404125.2;0.90862764;-10366.38;-4729.44;-24478.8;-18841.86;segment_ensemble;normal;60;-0.061971
81202 - Schweiz;M161_10 Diamant;Nov 2026;11;0.0;68243.35;60655.78;139090.22;86260.28;93845.4;85100.93;17937320.16;0.90682046;33189.62;25602.05;24445.15;16857.58;segment_ensemble;normal;60;-0.078405
71814 - Komet USA;201_10 Standard;Dec 2026;12;0.0;48398.89;57225.45;14875.16;46830.56;38636.98;33071.47;14736597.28;0.85595374;-18588.47;-9761.91;-24153.98;-15327.42;segment_ensemble;volatile;60;0.309466
81303 - Irland;M161_13 Stahl;Nov 2026;11;0.0;32187.0;52547.1;16379.36;29374.16;31322.42;28403.81;17937320.16;0.90682046;-21224.67;-864.58;-24143.29;-3783.19;segment_ensemble;normal;60;0.131888
83102 - Deutschland;M203_10 Stahl;Jun 2026;6;0.0;408922.49;358630.23;365030.7;324182.82;368276.35;334626.07;16404125.2;0.90862764;9646.12;-40646.14;-24004.16;-74296.42;segment_ensemble;normal;60;0.216465
71463 - Russland;231_12 Knochenfräser grazil konisch;Jul 2026;7;0.0;55298.41;55133.86;5713.86;30247.93;34145.11;31153.33;16472643.23;0.91238039;-20988.75;-21153.3;-23980.53;-24145.08;segment_ensemble;volatile;59;-0.4
81204 - Niederlande;M153_10 Oszillierend;Dec 2026;12;0.0;51077.02;50161.53;4105.6;26017.26;30649.19;26234.29;14736597.28;0.85595374;-19512.34;-20427.83;-23927.24;-24842.73;segment_ensemble;normal;60;0.001404
71450 - Süd-Korea;131_10 H1;Dec 2026;12;0.0;46211.62;51125.65;8072.14;31095.97;31823.96;27239.84;14736597.28;0.85595374;-19301.69;-14387.66;-23885.81;-18971.78;segment_ensemble;normal;58;0.053173
