as_of_date;forecast_month;grain;customer;product;customer_hierarchy;product_line;month;month_no;actual_sales;open_backlog;backlog_conversion_probability;expected_backlog_revenue;budget;roll_forecast;statistical_demand_forecast;residual_demand_forecast;raw_ai_forecast;final_ai_forecast;forecast_low;forecast_high;confidence;risk_flag;explanation
2026-05-07;May 2026;HierarchyProductLine;81213 - Costa Rica;M161_11 Hartmetall;81213 - Costa Rica;M161_11 Hartmetall;May 2026;5;7511.0;0.0;0.0;0.0;6084.51;0.0;8045.93;9443.34;16954.34;14572.52;13115.26;16029.77;high;normal;"normal segment; learned backlog probability 0%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jul 2026;HierarchyProductLine;81814 - Komet Medical USA;M171_10 Shannon Recta;81814 - Komet Medical USA;M171_10 Shannon Recta;Jul 2026;7;0.0;43473.25;0.9;39125.92;15394.92;36068.85;29724.17;0.0;28420.62;21613.14;19451.83;23774.46;medium;volatile;"volatile segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jul 2026;HierarchyProductLine;71423 - Japan;211_10 Labor;71423 - Japan;211_10 Labor;Jul 2026;7;0.0;0.0;0.0;0.0;1408.91;32643.92;40545.85;23934.2;23934.2;18201.34;16381.2;20021.47;high;normal;"normal segment; learned backlog probability 0%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jun 2026;HierarchyProductLine;83102 - Deutschland;n/a;83102 - Deutschland;n/a;Jun 2026;6;0.0;3800.0;0.9;3420.0;23417.18;27754.98;27761.58;14095.32;17515.32;13330.07;11997.06;14663.08;medium;volatile;"volatile segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;71814 - Komet USA;125_11 Wabenstreifen;71814 - Komet USA;125_11 Wabenstreifen;May 2026;5;13105.46;6589.04;0.95;6259.58;47986.43;43336.04;47220.06;14355.11;33720.15;28982.99;26084.69;31881.29;medium;volatile;"volatile segment; learned backlog probability 95%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jun 2026;HierarchyProductLine;88603 - USA ohne VU;n/a;88603 - USA ohne VU;n/a;Jun 2026;6;0.0;10667.37;0.9;9600.63;53385.37;35120.38;59771.59;17872.78;27473.41;20908.69;18817.82;22999.56;medium;volatile;"volatile segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jun 2026;HierarchyProductLine;71423 - Japan;211_10 Labor;71423 - Japan;211_10 Labor;Jun 2026;6;0.0;0.0;0.0;0.0;1585.88;20945.54;7809.7;8975.32;8975.32;6830.69;6147.62;7513.75;high;normal;"normal segment; learned backlog probability 0%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;May 2026;HierarchyProductLine;81202 - Schweiz;M172_10 Shannon Helico;81202 - Schweiz;M172_10 Shannon Helico;May 2026;5;0.0;18597.5;0.9;16737.75;8.36;26875.0;16211.53;0.0;14895.68;12803.07;11522.76;14083.37;high;normal;"normal segment; learned backlog probability 90%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jun 2026;HierarchyProductLine;71811 - Komet France;203_10 DCB-Schleifer;71811 - Komet France;203_10 DCB-Schleifer;Jun 2026;6;0.0;0.0;0.0;0.0;50709.11;52035.39;56468.38;50138.34;50138.34;38157.88;34342.1;41973.67;high;normal;"normal segment; learned backlog probability 0%; blended backlog, residual demand, budget, and roll forecast."
2026-05-07;Jun 2026;HierarchyProductLine;81603 - USA ohne VU;M181_14 Sonstige;81603 - USA ohne VU;M181_14 Sonstige;Jun 2026;6;0.0;0.0;0.0;0.0;0.0;0.0;19975.67;18080.2;18080.2;13759.97;12383.98;15135.97;high;normal;"normal segment; learned backlog probability 0%; blended backlog, residual demand, budget, and roll forecast."
